Shale Crude Oil and Natural Gas Production,,,,,,,,,,,,,,,,
Month,Total CL,Total NG,Permian CL ,Permian NG ,Niobrara CL,Niobrara NG ,Haynesville CL,Haynesville NG ,Eagle Ford CL,Eagle Ford NG,Bakken CL ,Bakken NG ,Appalachia CL ,Appalachia NG ,Anadarko CL ,Anadarko NG 
39083," 1,355,306 "," 18,724,561 "," 842,782 "," 4,602,747 "," 112,967 "," 3,439,026 "," 60,138 "," 3,566,040 "," 53,994 "," 1,599,377 "," 132,028 "," 187,705 "," 27,000 "," 1,298,431 "," 126,398 "," 4,031,235 "
39114," 1,383,720 "," 19,013,343 "," 857,277 "," 4,707,080 "," 116,344 "," 3,514,315 "," 60,804 "," 3,589,267 "," 56,285 "," 1,651,075 "," 131,833 "," 187,974 "," 27,000 "," 1,310,307 "," 134,177 "," 4,053,325 "
39142," 1,391,175 "," 19,296,815 "," 851,890 "," 4,763,664 "," 123,217 "," 3,546,589 "," 61,462 "," 3,659,389 "," 54,826 "," 1,657,453 "," 133,265 "," 186,192 "," 29,000 "," 1,318,131 "," 137,516 "," 4,165,396 "
39173," 1,400,294 "," 19,369,923 "," 853,049 "," 4,808,906 "," 127,715 "," 3,536,181 "," 60,370 "," 3,694,726 "," 56,722 "," 1,669,508 "," 132,783 "," 189,048 "," 28,000 "," 1,349,884 "," 141,655 "," 4,121,670 "
39203," 1,395,863 "," 19,624,217 "," 843,388 "," 4,828,642 "," 126,887 "," 3,663,753 "," 59,207 "," 3,724,482 "," 56,680 "," 1,634,128 "," 137,285 "," 196,984 "," 28,000 "," 1,374,664 "," 144,416 "," 4,201,564 "
39234," 1,373,738 "," 19,643,726 "," 833,924 "," 4,775,236 "," 125,422 "," 3,645,695 "," 58,243 "," 3,764,451 "," 54,165 "," 1,654,700 "," 136,141 "," 198,029 "," 28,000 "," 1,389,603 "," 137,841 "," 4,216,014 "
39264," 1,381,769 "," 19,774,016 "," 842,380 "," 4,852,388 "," 124,697 "," 3,655,586 "," 57,101 "," 3,824,002 "," 53,088 "," 1,651,873 "," 138,122 "," 200,005 "," 27,000 "," 1,397,558 "," 139,382 "," 4,192,604 "
39295," 1,389,294 "," 19,848,131 "," 843,453 "," 4,843,397 "," 127,207 "," 3,745,713 "," 57,764 "," 3,828,994 "," 53,003 "," 1,640,130 "," 139,601 "," 200,378 "," 27,000 "," 1,407,912 "," 141,265 "," 4,181,606 "
39326," 1,398,008 "," 19,847,584 "," 844,841 "," 4,759,385 "," 125,729 "," 3,717,382 "," 58,056 "," 3,854,336 "," 54,342 "," 1,648,015 "," 140,432 "," 195,802 "," 27,000 "," 1,450,493 "," 147,608 "," 4,222,173 "
39356," 1,408,000 "," 19,921,371 "," 849,732 "," 4,728,489 "," 129,823 "," 3,722,255 "," 59,629 "," 3,923,930 "," 52,468 "," 1,643,926 "," 145,072 "," 200,198 "," 27,000 "," 1,457,372 "," 144,276 "," 4,245,201 "
39387," 1,417,167 "," 20,188,732 "," 857,210 "," 4,736,545 "," 130,193 "," 3,900,187 "," 60,979 "," 3,942,736 "," 53,981 "," 1,650,220 "," 143,043 "," 195,314 "," 27,000 "," 1,478,199 "," 144,761 "," 4,285,532 "
39417," 1,412,834 "," 20,131,043 "," 862,094 "," 4,705,154 "," 123,238 "," 4,002,591 "," 60,607 "," 3,986,486 "," 53,313 "," 1,642,949 "," 147,262 "," 195,216 "," 27,000 "," 1,475,087 "," 139,320 "," 4,123,561 "
