X,y
39718130,38253000
40719330,39401000
40261291,40492000
41130581,41291000
39098552,41932000
39309243,42262000
39826550,41519000
38756739,41329000
40833682,41184000
41638434,42625000
40006436,41609000
43582727,45022000
43992336,46652000
45541832,47523000
45940035,46851000
45521352,46383000
44284798,46924000
45058496,47125000
44365415,45992000
42371265,44449000
43985870,44912000
44211069,45177000
46547376,45998000
47135809,47803000
52174058,49069000
51546853,49053000
50942513,50844000
50193500,52940000
54843643,53582000
53981917,51836000
52562458,52488000
52789245,52178000
52331681,50827000
51019575,50398000
49627483,48865000
47354758,47361000
45066982,44821000
42744551,42336000
41593344,40356000
41779460,40126000
39669205,39328000
39581466,38681000
41894495,40937000
42460118,40736000
39930314,41667000
42324518,42953000
43743368,44459000
44339667,46031000
45910153,47745000
43666989,44221000
43624005,44124000
43220570,43822000
41941778,40429000
41543099,40164000
37468320,36322000
37505634,35501000
37672981,35843000
36750227,34882000
37234177,35640000
37876995,36708000
38243166,38376000
38053608,38243000
40140715,39149000
38047914,37178000
38827777,37882000
39636377,38445000
